"Ytemp","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",0,1,3,7,7,3,3,3,3,7,2,4,6,1,6,7,3,2,4,5,3,0.790027505066246,0.259856990294065,0.277354636462405,0.6573424871522,0.495476894336753,0.585613600714132,0.129978166855872,0.670777209904045,0.649799020967912,0.88051641976228,0.104107924811542,0.960799855724908,0.611964570749551,0.47747697123792,0.160932671353221,0.228611073747743,0.507570509910584,0.929213885928039,0.976926777900662,0.443834251936059,5.04546796098619,3.86564229393883,5.93727144887634,4.6767720813935,3.00652879162031,4.3857583470023,3.88659759299578,5.44490524482606,4.34668255119406,7.32065283701296,1.98866203576314,5.91938040294309,7.77263526094913,7.30214364480193,3.23632606086464,4.74249475320793,6.03704886091119,1.32210535187724,5.30332576320323,5.46713675788843,27.3524572941252,23.6715710409554,21.0805324940259,21.0823372215563,29.8468750438028,23.73562397177,26.859970759988,33.76296863803,19.7356655456919,27.8195869123928,30.1671056431127,29.6123490281666,31.9086882346109,28.3603410892765,23.6956453310437,22.7654628210208,21.5920474872065,29.7818825634328,19.284550718761,17.5782256781472,6,5,5,6,5,6,5,3,5,6,9,4,5,3,3,5,2,3,4,7
"2",0,3,2,4,1,2,8,1,5,3,2,5,2,4,3,2,5,3,6,5,1,0.204613584792241,0.85881136881886,0.340569246234372,0.406267509539612,0.84394452113891,0.886869417233393,0.190541078832466,0.14623917710036,0.88881965541048,0.495905418612529,0.478734967324417,0.387445619904902,0.487261026892811,0.352446513490286,0.213041485834401,0.100931173372082,0.610638105270918,0.154126310439315,0.329801400089636,0.411184253445826,5.30097032933622,5.83905736188288,5.57847038145943,2.27039852638365,5.21427125207257,3.01030140543759,6.57612242645186,6.195138182256,5.31879040682425,5.79606454233596,6.93536806788785,8.14117477203532,3.87228036472068,2.80173942172267,3.95760040205433,4.36616496261944,4.1415869132123,6.15857703888161,5.30594996026439,1.00884760687697,18.8979584179168,19.4448101208693,20.3100601180147,19.9251850712668,27.9153533757719,23.9213339870868,28.4445333436875,22.5337635316577,17.3307107366314,21.122945905664,24.563669818519,26.2496056379553,20.2402038523651,33.108467333288,25.8786067878343,25.2527152451432,19.1561155778369,21.5080160900126,19.7266641040443,22.6293966702775,3,4,4,6,1,5,3,2,3,4,5,4,0,2,3,2,5,2,2,4
"3",0,4,10,2,3,9,6,2,0,5,4,4,6,5,7,5,2,7,5,5,3,0.142412687351462,0.787175975572318,0.224064004051033,0.872319671611767,0.95987166776089,0.791044171308167,0.157110199171584,0.293490412910469,0.988549934027251,0.895838091780897,0.677129271365702,0.953625128569547,0.311929816589691,0.295316746395547,0.745132015438285,0.866630239777733,0.475885060979053,0.547972038069274,0.291383070612792,0.816404800238088,4.22191079315567,5.00243531440206,4.59316806238668,4.29120708967656,7.21668784675279,5.29414684300067,4.50852730878915,1.80993403532289,4.46080434707422,7.06571734961512,7.06618619169486,5.46398133771724,4.8041541329178,5.37526556539578,6.07854833824173,5.31051066788513,6.43389576068807,2.45280177417681,5.1502511029454,4.55091890429708,19.8642198981458,25.7321126958645,27.0034501264356,25.8325948535728,28.595400103308,26.3205099138735,22.0961530603614,23.9298925645008,24.0978163627096,28.6642493777805,27.7333384473367,14.4577396374051,19.8509811287729,26.0312634342406,14.9274797191556,30.7883445750684,29.6996908198622,36.3470872685394,26.9370004161418,26.1781168267296,4,6,7,4,4,6,4,5,7,3,6,4,3,5,7,5,8,4,7,3
"4",0,4,7,4,3,1,6,7,5,6,5,5,6,1,2,3,5,5,1,4,6,0.511692563968245,0.888736044920515,0.259666212419979,0.620674522502814,0.334535767205525,0.738422800577246,0.219172965902835,0.209353457309771,0.284694841469172,0.136044871630147,0.486780727431178,0.840423170265276,0.17632010958856,0.524354849113151,0.906981957603712,0.246741143604741,0.396976605085656,0.571385938909371,0.567945150537416,0.736903039303143,3.98604505211678,2.13644672701577,6.06581432239309,4.69093906791699,6.14059113280151,6.25321196845745,2.1726046506237,7.27856337215251,6.20920400158304,6.12688168134076,4.05642621418012,7.37266574683281,4.65407138771631,7.98650601417992,7.69087534707154,3.14165370406855,6.11897998851686,6.65816398920193,6.6115691168386,5.83258658660342,28.3479012258089,22.1037522125834,30.7016042463387,21.1491304228378,28.4766538469247,32.4188902673121,31.1387559944421,38.223902191559,26.2546931839246,18.4910187246378,25.041511986043,25.6965769283777,20.0604407524432,26.7575190380553,22.1422524943422,19.6371998158903,24.8343504785202,21.3634104118187,26.5256230605437,24.135834475116,4,4,8,4,5,2,4,3,4,3,4,7,4,5,6,3,3,3,4,7
"5",0,2,6,4,4,4,3,1,6,3,4,4,3,2,4,0,2,1,6,3,3,0.339553362866864,0.714381185106467,0.481218150055502,0.731999691086821,0.850024803334381,0.24157363433158,0.153340716066305,0.743779220264405,0.831881591216661,0.314456910535228,0.928697910145856,0.203155453638174,0.578125170725398,0.564673280685674,0.806345521332696,0.743208713901695,0.121038137471769,0.209797159568407,0.246799629586749,0.56763832220342,3.91835484040228,2.0100582936539,5.89232533782359,4.84501119072296,3.80018039684293,2.96407390963586,4.72808477813174,6.1846713497051,6.13918046632101,5.11351239553803,3.2463877538011,6.23303511870594,4.36716864155629,3.70017606843615,5.96205069595789,4.48523063105398,5.09692004252165,4.78155342296187,5.52968717126231,6.23792823076119,17.1245232064534,25.359558962309,22.1507365890367,20.2431305907685,21.9773376522614,24.8020395496562,31.0229468015754,21.9408386374633,27.7280482210899,22.4941164135816,28.2211009831225,24.9431145441499,21.9106386233528,28.5106740661753,26.0801156507727,22.1883158186774,21.8454935062892,26.250258017765,31.062592051984,28.162002795818,8,6,1,5,6,4,5,3,3,8,5,4,6,4,6,4,2,4,5,6
"6",0,3,6,3,5,3,4,6,3,0,1,2,4,5,6,7,2,3,3,4,5,0.23856122269528,0.209641922493465,0.573370912631508,0.5706014276715,0.884588026495185,0.955546345687471,0.312110427042935,0.431808860406745,0.117218396854587,0.670001528901048,0.594519988878164,0.185934769911692,0.331416203519329,0.605472600429784,0.120831708326004,0.653409298334736,0.698045814225916,0.537533105274197,0.329165472323075,0.273743604610208,5.95588835879303,6.51170179660142,5.73558322477764,6.61048725190744,2.48555137217809,8.54160501025547,6.98998772822226,5.49289861310555,4.92831030847554,4.8935169484132,2.7301651331392,5.34832276989967,2.90607869669511,2.99297155334022,4.22285803089753,7.95191547637374,4.48543353875234,5.81770132728916,2.33091318266464,3.92885653255256,22.1417348952577,26.7845556247049,20.9586067491148,16.6942650489493,26.7042006326118,29.9611847586575,26.0207216659024,20.5820889000592,25.0143448808847,22.4345459315564,26.1575391690203,21.6539793907337,21.5969095433963,16.621165375759,16.8862875054327,20.4615418702212,19.0676301257897,21.4020215736795,34.8776365446259,24.3107630296415,3,8,5,5,9,3,4,3,6,2,5,4,7,5,3,4,3,4,5,5
"7",1,3,1,1,7,0,9,2,4,2,8,3,1,6,5,4,2,3,4,2,7,0.481190648120828,0.137708839282859,0.244443268987816,0.857447271076962,0.733493263367563,0.724403595558833,0.908900764347054,0.288843223771546,0.527087370092049,0.190166644174606,0.367675321227871,0.918619308872148,0.416228324270342,0.475913196175825,0.465124054935295,0.515420414442197,0.933890825537965,0.61362593448488,0.348428595406003,0.776939906093758,6.45754453137639,5.05655675970111,7.79010591767573,4.33619980009449,1.58524127284856,5.27013753150311,4.58683112025499,2.06132565339614,5.98261131795873,5.45780079179827,7.35621498770212,6.29348264529984,3.28934968840994,6.2257078683924,4.18878617817358,2.74733810986354,3.8184803688016,5.90567418170121,2.7169741303682,5.06029406945906,32.5188367565014,25.4859287563603,30.4541005758985,28.9690337821854,30.7547325219758,21.0602106867145,20.8069030486164,34.6700343637105,24.7633272469497,35.3181268906214,21.5886997126737,23.753084485498,26.4301018274612,23.0706798933739,20.0296640227459,23.6810598814036,16.4430185304637,23.6841683859655,22.937880239687,24.0588135602485,6,2,5,6,5,8,4,3,6,4,3,3,6,4,5,7,6,7,3,5
"8",1,6,2,3,3,4,1,0,4,1,3,3,5,3,3,2,2,7,5,6,3,0.20510066778399,0.728197660672013,0.333753046549391,0.448335906628054,0.352063645836897,0.460568242243026,0.751330075680744,0.38332506197039,0.126029111673124,0.664967184534762,0.378088591366541,0.189346329590771,0.414837189386599,0.289928355468437,0.333266668310389,0.850773044361267,0.492094658671413,0.304957767082378,0.962122730300762,0.91099341645604,4.16826982017667,7.27556606847998,4.83352655677115,4.26654950596267,5.84259148530805,4.1029615129402,6.29877505815594,7.08294221149069,6.50065720469637,4.42885456101954,6.77230047500552,3.15024384721168,3.54687687570287,6.24676628127322,6.60935132317337,4.28085281607616,6.80335605676473,5.87417835363469,5.6868184413132,5.07544029270363,25.8418766390499,28.8258392414697,24.9378510019516,27.0382236974949,25.0881756275668,19.3569477270767,22.6265444482848,39.1459276340312,25.5130110450886,30.2594160469162,29.9224525851184,29.3830831763318,22.4577101814528,23.6450297149897,23.403285888263,30.2844160496355,17.49451188234,26.4096967863536,20.6404234932329,27.8588124353743,5,4,5,3,3,3,4,5,1,6,6,2,5,4,7,4,3,2,4,3
"9",0,7,5,2,5,9,6,1,7,7,5,7,5,3,3,2,4,4,3,8,5,0.427260989393108,0.599432440444361,0.782865350111388,0.343560621177312,0.248904909431003,0.557377666365355,0.644355962902773,0.23367118811002,0.334160626966041,0.862033126833849,0.122857541751582,0.344543980858289,0.804693218467291,0.564813425152097,0.870844268938527,0.870314925648272,0.779444280932657,0.879890658380464,0.353278140795883,0.51793530959636,4.50175606869404,4.15744687259062,6.61235003538237,5.85667989681508,8.30456039244306,4.77733565920278,3.26704738165129,4.23112231808377,5.45261634415003,5.20075161880489,4.37534074334898,5.2057003730015,6.68709289598195,2.71278208033424,4.07739082030653,5.35658755498564,5.34894462449623,4.80944534724288,7.0480850289594,3.97259198579854,25.63798619904,25.8648337897634,28.1263263379248,26.1422421401726,26.0354521596977,29.0560089343329,25.2115390988668,25.8807778383496,29.7829216917224,32.4853424559393,21.3320647084231,19.2493742587068,24.4109420792804,21.2277957146946,21.373666999365,20.9924916658632,24.5795871503453,28.6576709350144,26.5355183122604,35.6600470258676,3,2,5,6,2,6,3,4,4,5,5,4,5,8,6,3,4,5,5,5
